Licenses,Regex
CERN_OHL_S_20," ""licen[cs]e(id|[- ]identifier| name)?[: ](CERN-OHL-S[- ]2\.?0|(.{1,32} (AND|OR)){1,4} CERN-OHL-S[- ]2\.?0)"""
CERN_OHL_W_20," ""licen[cs]e(id|[- ]identifier| name)?[: ](CERN-OHL-W[- ]2\.?0|(.{1,32} (AND|OR)){1,4} CERN-OHL-W[- ]2\.?0)"""
ClArtistic," ""licen[cs]e(id|[- ]identifier| name)?[: ](ClArtistic|(.{1,32} (AND|OR)){1,4} ClArtistic)"""
MIT_CMU," ""licen[cs]e(id|[- ]identifier| name)?[: ](MIT-CMU|(.{1,32} (AND|OR)){1,4} MIT-CMU)"""
CNRI_Jython," ""licen[cs]e(id|[- ]identifier| name)?[: ](CNRI-Jython|(.{1,32} (AND|OR)){1,4} CNRI-Jython)"""
CNRI_Python," ""licen[cs]e(id|[- ]identifier| name)?[: ](CNRI-Python|(.{1,32} (AND|OR)){1,4} CNRI-Python)"""
CNRI_Python_GPL_Compatible," ""licen[cs]e(id|[- ]identifier| name)?[: ](CNRI-Python-GPL-Compatible|(.{1,32} (AND|OR)){1,4} CNRI-Python-GPL-Compatible)"""
Condor_11," ""licen[cs]e(id|[- ]identifier| name)?[: ](Condor[- ]1\.?1|(.{1,32} (AND|OR)){1,4} Condor[- ]1\.?1)"""
copyleft_next_030," ""licen[cs]e(id|[- ]identifier| name)?[: ](copyleft-next-0\.?3\.?0|(.{1,32} (AND|OR)){1,4} copyleft-next-0\.?3\.?0)"""
copyleft_next_031," ""licen[cs]e(id|[- ]identifier| name)?[: ](copyleft-next-0\.?3\.?1|(.{1,32} (AND|OR)){1,4} copyleft-next-0\.?3\.?1)"""
CPAL_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](CPAL[- ]1\.?0|(.{1,32} (AND|OR)){1,4} CPAL[- ]1\.?0)"""
CPL_10," ""licen[cs]e(id|[- ]identifier| name)?[: ](CPL[- ]1\.?0|(.{1,32} (AND|OR)){1,4} CPL[- ]1\.?0)"""
CPOL_102," ""licen[cs]e(id|[- ]identifier| name)?[: ](CPOL[- ]1\.?02|(.{1,32} (AND|OR)){1,4} CPOL[- ]1\.?02)"""
Crossword," ""licen[cs]e(id|[- ]identifier| name)?[: ](Crossword|(.{1,32} (AND|OR)){1,4} Crossword)"""
